Дата Время;давление
14.03.2024 19:58:38:093;26,01
14.03.2024 19:58:38:171;26,01
14.03.2024 19:58:38:249;26,00
14.03.2024 19:58:38:328;26,00
14.03.2024 19:58:38:406;25,99
14.03.2024 19:58:38:484;25,99
14.03.2024 19:58:38:562;25,98
14.03.2024 19:58:38:641;25,97
14.03.2024 19:58:38:718;25,97
14.03.2024 19:58:38:797;25,97
14.03.2024 19:58:38:875;25,97
14.03.2024 19:58:38:953;25,96
14.03.2024 19:58:39:031;25,95
14.03.2024 19:58:39:109;25,94
14.03.2024 19:58:39:187;25,94
14.03.2024 19:58:39:265;25,94
14.03.2024 19:58:39:344;25,94
14.03.2024 19:58:39:422;25,93
14.03.2024 19:58:39:500;25,92
14.03.2024 19:58:39:578;25,92
14.03.2024 19:58:39:735;25,92
14.03.2024 19:58:39:812;25,90
14.03.2024 19:58:39:891;25,89
14.03.2024 19:58:40:125;25,89
14.03.2024 19:58:40:203;25,89
14.03.2024 19:58:40:297;25,89
14.03.2024 19:58:40:375;25,87
14.03.2024 19:58:40:454;25,87
14.03.2024 19:58:40:532;25,86
14.03.2024 19:58:40:610;25,86
14.03.2024 19:58:40:688;25,85
14.03.2024 19:58:40:766;25,85
14.03.2024 19:58:40:844;25,84
14.03.2024 19:58:40:922;25,84
14.03.2024 19:58:41:000;25,82
14.03.2024 19:58:41:078;25,83
14.03.2024 19:58:41:157;25,82
14.03.2024 19:58:41:235;25,81
14.03.2024 19:58:41:313;25,81
14.03.2024 19:58:41:391;25,80
14.03.2024 19:58:41:470;25,80
14.03.2024 19:58:41:548;25,79
14.03.2024 19:58:41:626;25,79
14.03.2024 19:58:41:704;25,79
14.03.2024 19:58:41:782;25,78
14.03.2024 19:58:41:860;25,77
14.03.2024 19:58:41:938;25,77
14.03.2024 19:58:42:016;25,76
14.03.2024 19:58:42:094;25,76
14.03.2024 19:58:42:173;25,76
14.03.2024 19:58:42:251;25,76
14.03.2024 19:58:42:329;25,74
14.03.2024 19:58:42:407;25,74
14.03.2024 19:58:42:501;25,74
14.03.2024 19:58:42:579;25,73
14.03.2024 19:58:42:735;25,73
14.03.2024 19:58:42:813;25,72
14.03.2024 19:58:42:891;25,71
14.03.2024 19:58:42:970;25,71
14.03.2024 19:58:43:048;25,71
14.03.2024 19:58:43:126;25,70
14.03.2024 19:58:43:204;25,70
14.03.2024 19:58:43:283;25,69
14.03.2024 19:58:43:361;25,69
14.03.2024 19:58:43:517;25,69
14.03.2024 19:58:43:595;25,67
14.03.2024 19:58:43:673;25,67
14.03.2024 19:58:43:752;25,66
14.03.2024 19:58:43:907;25,66
14.03.2024 19:58:43:986;25,66
14.03.2024 19:58:44:064;25,65
14.03.2024 19:58:44:142;25,64
14.03.2024 19:58:44:220;25,63
14.03.2024 19:58:44:377;25,63
14.03.2024 19:58:44:455;25,61
14.03.2024 19:58:44:533;25,61
14.03.2024 19:58:44:611;25,61
14.03.2024 19:58:44:689;25,61
14.03.2024 19:58:44:768;25,60
14.03.2024 19:58:44:845;25,60
14.03.2024 19:58:44:923;25,59
14.03.2024 19:58:45:001;25,59
14.03.2024 19:58:45:080;25,58
14.03.2024 19:58:45:158;25,58
14.03.2024 19:58:45:236;25,58
14.03.2024 19:58:45:314;25,56
14.03.2024 19:58:45:393;25,56
14.03.2024 19:58:45:470;25,56
14.03.2024 19:58:45:549;25,56
14.03.2024 19:58:45:627;25,55
14.03.2024 19:58:45:705;25,54
14.03.2024 19:58:45:783;25,54
14.03.2024 19:58:45:861;25,54
14.03.2024 19:58:45:939;25,53
14.03.2024 19:58:46:017;24,59
14.03.2024 19:58:46:096;23,66
14.03.2024 19:58:46:174;22,73
14.03.2024 19:58:46:252;21,94
14.03.2024 19:58:46:330;21,17
14.03.2024 19:58:46:409;20,47
14.03.2024 19:58:46:486;19,86
14.03.2024 19:58:46:564;19,26
14.03.2024 19:58:46:643;18,73
14.03.2024 19:58:46:721;18,21
14.03.2024 19:58:46:799;17,74
14.03.2024 19:58:46:877;17,29
14.03.2024 19:58:46:955;16,85
14.03.2024 19:58:47:033;16,47
14.03.2024 19:58:47:112;16,10
14.03.2024 19:58:47:190;15,78
14.03.2024 19:58:47:268;15,40
14.03.2024 19:58:47:346;14,93
14.03.2024 19:58:47:425;14,44
14.03.2024 19:58:47:502;13,88
14.03.2024 19:58:47:581;13,34
14.03.2024 19:58:47:659;12,74
14.03.2024 19:58:47:737;12,18
14.03.2024 19:58:47:815;11,58
14.03.2024 19:58:47:893;10,98
14.03.2024 19:58:47:971;10,44
14.03.2024 19:58:48:049;9,87
14.03.2024 19:58:48:128;9,37
14.03.2024 19:58:48:206;8,83
14.03.2024 19:58:48:284;8,36
14.03.2024 19:58:48:362;7,87
14.03.2024 19:58:48:440;7,42
14.03.2024 19:58:48:518;7,01
14.03.2024 19:58:48:597;6,62
14.03.2024 19:58:48:675;6,26
14.03.2024 19:58:48:753;5,92
14.03.2024 19:58:48:831;5,62
14.03.2024 19:58:48:909;5,32
14.03.2024 19:58:48:987;5,05
14.03.2024 19:58:49:065;4,82
14.03.2024 19:58:49:144;4,59
14.03.2024 19:58:49:222;4,38
14.03.2024 19:58:49:300;4,20
14.03.2024 19:58:49:378;4,05
14.03.2024 19:58:49:456;3,89
14.03.2024 19:58:49:535;3,76
14.03.2024 19:58:49:613;3,65
14.03.2024 19:58:49:691;3,54
14.03.2024 19:58:49:769;3,46
14.03.2024 19:58:49:847;3,37
14.03.2024 19:58:49:925;3,33
14.03.2024 19:58:50:003;3,28
14.03.2024 19:58:50:081;3,25
14.03.2024 19:58:50:159;3,22
14.03.2024 19:58:50:237;3,18
14.03.2024 19:58:50:316;3,16
14.03.2024 19:58:50:394;3,13
14.03.2024 19:58:50:472;3,11
14.03.2024 19:58:50:550;3,08
14.03.2024 19:58:50:629;3,05
14.03.2024 19:58:50:707;3,03
14.03.2024 19:58:50:785;2,99
14.03.2024 19:58:50:863;2,97
14.03.2024 19:58:50:941;2,94
14.03.2024 19:58:51:019;2,91
14.03.2024 19:58:51:097;2,88
14.03.2024 19:58:51:175;2,86
14.03.2024 19:58:51:253;2,83
14.03.2024 19:58:51:332;2,80
14.03.2024 19:58:51:410;2,78
14.03.2024 19:58:51:488;2,75
14.03.2024 19:58:51:566;2,72
14.03.2024 19:58:51:645;2,69
14.03.2024 19:58:51:722;2,66
14.03.2024 19:58:51:800;2,63
14.03.2024 19:58:51:879;2,61
14.03.2024 19:58:51:957;2,58
14.03.2024 19:58:52:035;2,55
14.03.2024 19:58:52:113;2,53
14.03.2024 19:58:52:191;2,51
14.03.2024 19:58:52:269;2,47
14.03.2024 19:58:52:348;2,46
14.03.2024 19:58:52:426;2,43
14.03.2024 19:58:52:504;2,41
14.03.2024 19:58:52:582;2,38
14.03.2024 19:58:52:660;2,35
14.03.2024 19:58:52:738;2,33
14.03.2024 19:58:52:816;2,31
14.03.2024 19:58:52:894;2,29
14.03.2024 19:58:52:973;2,27
14.03.2024 19:58:53:051;2,25
14.03.2024 19:58:53:129;2,22
14.03.2024 19:58:53:208;2,20
14.03.2024 19:58:53:285;2,18
14.03.2024 19:58:53:364;2,16
14.03.2024 19:58:53:442;2,14
14.03.2024 19:58:53:520;2,11
14.03.2024 19:58:53:598;2,10
14.03.2024 19:58:53:676;2,07
14.03.2024 19:58:53:754;2,06
14.03.2024 19:58:53:832;2,04
14.03.2024 19:58:53:910;2,02
14.03.2024 19:58:53:989;2,01
14.03.2024 19:58:54:067;1,99
14.03.2024 19:58:54:145;1,97
14.03.2024 19:58:54:223;1,96
14.03.2024 19:58:54:317;1,95
14.03.2024 19:58:54:395;1,93
14.03.2024 19:58:54:473;1,92
14.03.2024 19:58:54:552;1,90
14.03.2024 19:58:54:630;1,88
14.03.2024 19:58:54:708;1,87
14.03.2024 19:58:54:786;1,86
14.03.2024 19:58:54:864;1,85
14.03.2024 19:58:54:942;1,84
14.03.2024 19:58:55:020;1,82
14.03.2024 19:58:55:098;1,82
14.03.2024 19:58:55:177;1,81
14.03.2024 19:58:55:255;1,79
14.03.2024 19:58:55:333;1,79
14.03.2024 19:58:55:411;1,78
14.03.2024 19:58:55:489;1,77
14.03.2024 19:58:55:567;1,76
14.03.2024 19:58:55:646;1,75
14.03.2024 19:58:55:724;1,75
14.03.2024 19:58:55:802;1,74
14.03.2024 19:58:55:880;1,74
14.03.2024 19:58:55:958;1,73
14.03.2024 19:58:56:036;1,72
14.03.2024 19:58:56:192;1,71
14.03.2024 19:58:56:270;1,70
14.03.2024 19:58:56:348;1,70
14.03.2024 19:58:56:504;1,69
14.03.2024 19:58:56:583;1,69
14.03.2024 19:58:56:661;1,68
14.03.2024 19:58:56:739;1,68
14.03.2024 19:58:56:817;1,68
14.03.2024 19:58:56:895;1,67
14.03.2024 19:58:56:973;1,67
14.03.2024 19:58:57:052;1,67
14.03.2024 19:58:57:130;1,66
14.03.2024 19:58:57:208;1,66
14.03.2024 19:58:57:286;1,66
14.03.2024 19:58:57:364;1,66
14.03.2024 19:58:57:442;1,66
14.03.2024 19:58:57:521;1,66
14.03.2024 19:58:57:599;1,66
14.03.2024 19:58:57:677;1,66
14.03.2024 19:58:57:755;1,65
14.03.2024 19:58:57:833;1,65
14.03.2024 19:58:57:911;1,66
14.03.2024 19:58:58:067;1,65
14.03.2024 19:58:58:145;1,66
14.03.2024 19:58:58:299;1,66
14.03.2024 19:58:58:382;1,65
14.03.2024 19:58:58:460;1,66
14.03.2024 19:58:58:538;1,66
14.03.2024 19:58:58:617;1,66
14.03.2024 19:58:58:695;1,66
14.03.2024 19:58:58:773;1,66
14.03.2024 19:58:58:851;1,65
14.03.2024 19:58:58:929;1,66
14.03.2024 19:58:59:007;1,65
14.03.2024 19:58:59:085;1,66
14.03.2024 19:58:59:241;1,66
14.03.2024 19:58:59:319;1,66
14.03.2024 19:58:59:397;1,66
14.03.2024 19:58:59:475;1,66
14.03.2024 19:58:59:553;1,65
14.03.2024 19:58:59:632;1,66
14.03.2024 19:58:59:710;1,66
14.03.2024 19:58:59:788;1,64
14.03.2024 19:58:59:866;1,65
14.03.2024 19:58:59:944;1,65
14.03.2024 19:59:00:022;1,65
14.03.2024 19:59:00:100;1,65
14.03.2024 19:59:00:179;1,66
14.03.2024 19:59:00:257;1,65
14.03.2024 19:59:00:349;1,65
14.03.2024 19:59:00:428;1,65
14.03.2024 19:59:00:506;1,64
14.03.2024 19:59:00:584;1,65
14.03.2024 19:59:00:662;1,65
14.03.2024 19:59:00:740;1,65
14.03.2024 19:59:00:834;1,64
